ID,Text,United_States_Hate,Australia_Hate,United_Kingdom_Hate,South_Africa_Hate,Singapore_Hate
SBIC-15,"""@USER No.. that's me laughing at your desperate attempts to """"explain-away"""" people that don't believe/accept your cult's bullshit""",1.0,1.0,0.0,0.0,0.0
SBIC-16,"""@USER I know it's easy to think names as first+last, but """"you can't create a lead without a last name"""" ignores real world names.""",0.0,0.0,0.0,0.0,0.0
SBIC-17,"""@USER i deadass just hear hobi saying """"park jimin"""" honestly this could be a play in our ears lmao""",0.0,0.0,0.0,0.0,0.0
SBIC-18,"""As we loaded on the shuttle, our gate agent ran by our tarmac shuttle yelling """"where is the white plains plane parked?"""" #lowconfidence""",0.0,0.0,0.0,0.0,0.0
SBIC-19,"""Before we """"PRAY FOR SYRIA"""" and their fake crisis, can we """"PRAY FOR CHICAGO"""" and their real crisis of murdered children⁉️⁉️""",0.0,1.0,1.0,1.0,1.0
SBIC-20,"""Bylsma on Justin Bailey: """"He did quite well up here, and the challenge is sustaining that. Saw dips and inconsistencies in his game.""""""",0.0,0.0,0.0,0.0,0.0
SBIC-21,"""Edgy"" means u get 2 complain about how persecuted you are for saying horrible things while u continue 2 face no consequences 4 saying them.",0.0,0.0,0.0,0.0,0.0
SBIC-22,"""Fat acceptance"" is absolutely degeneracy of the highest order, and during the Fourth Reich, there will be compulsory calisthenics.",1.0,1.0,1.0,1.0,1.0
SBIC-23,"""From 1480 to 1913 European Queens waged far more wars that European Kings"" [xpost: r/history]",0.0,0.0,0.0,0.0,0.0
SBIC-24,"""Google Home to me this morning: """"Just remember, it is April 1st, so there are many people out to fool you today. Stay vigilant."""" &#128514;&#128514;&#128514;&#128514;""",0.0,0.0,0.0,0.0,0.0
SBIC-25,"""How can I help if she doesn't even try to explain what's """"the help"""" she need & let me translate her needs from screenshot of WhatsApp convo?""",0.0,0.0,0.0,0.0,0.0
SBIC-26,"""Is that an albino Mexican?""
""No dad, he's Asian.""",1.0,1.0,1.0,0.0,1.0
SBIC-27,"""Libyan government to investigate slave auctions in which African migrants are sold to the highest bidder""
How come they're selling them in Libya when they're giving them to Europe for free?",1.0,1.0,1.0,1.0,0.0
SBIC-28,"""Madam, your son just called me ugly!"" The mother apologizes shamefacedly, ""I'm so sorry, I must have told him like a thousand times it is wrong to judge people just from how they look...""",0.0,0.0,0.0,0.0,0.0
SBIC-29,"""Niggas don't lie, our ugly friend put up a pic we just gon write """"nigga u ugly"""" under it""",1.0,1.0,1.0,0.0,1.0
SBIC-30,"""One man's trash is another man's treasure"" Wonderful saying, horrible way to find out that you were adopted.",0.0,0.0,0.0,1.0,0.0
SBIC-31,"""Personality""
I just want to get a bat and bludgeon the face of the next female that utters this word.",1.0,1.0,1.0,1.0,1.0
SBIC-32,"""RT @USER: (Haters): Please name a rapper from Austin who has """"Valid"""" numbers like these... can't? &#129300;Okay, shut the fuck up and…""",0.0,0.0,0.0,0.0,1.0
SBIC-33,"""RT @USER: """"na boo you just be fucking with the wrong niggas"""" - a wronger nigga""",0.0,0.0,0.0,0.0,0.0
SBIC-34,"""RT @USER: Muslims in Germany chant""""Adolf Hitler""""&""""death to Jews""""as they Nazi salute. Ironically side fighting this hate in U.…""",1.0,1.0,1.0,1.0,1.0
SBIC-35,"""RT @USER: .@USER to @USER """"Suck my dick. Suck my dick. Suck my dick you fucking prick"""" #gayporn @USER…""",0.0,0.0,0.0,1.0,1.0
SBIC-36,"""Red Pill"" cuck gets used for money on a date, writes a field report on it lmfao",0.0,0.0,1.0,0.0,1.0
SBIC-37,"""Snigger"" ->  ""Laughrican American""",1.0,1.0,1.0,1.0,1.0
SBIC-38,"""The """"White Helmets"""" have done plenty of proven hoaxes in the past. Why would this event be any different?""",0.0,0.0,1.0,1.0,1.0
SBIC-39,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an",1.0,1.0,1.0,1.0,1.0
SBIC-40,"""he is attractive but not my type""
u hear this saying a lot from females in the show 'dating in the dark'

ie: he is ugly but i don't want to look shallow because im a coward piece of shit",0.0,0.0,0.0,0.0,0.0
SBIC-41,"""i can't stand these """"grown"""" ass females &#129318;&#127997;‍♀️&#129318;&#127997;‍♀️ how you """" grown """" but childish as hell ?! &#128553;&#128514;&#129318;&#127997;‍♀️&#129318;&#127997;‍♀️""",1.0,0.0,1.0,0.0,1.0
SBIC-42,"""i feel bad for intentionally mishearing this part in park bo gum's song (but i swear on me mum it sounded like """"chinko"""" IM SORRY)""",0.0,1.0,1.0,0.0,0.0
SBIC-43,"""if i wasnt in a work place id deck you"" aye fucking right, I'd give you a tyson 4 combo nd end you with an uppercut. Shut the fuck up bitch",1.0,0.0,0.0,0.0,1.0
SBIC-44,"""imagine having such a pathetic relationship with christ that'd you would """"consider"""" paganism @USER""",0.0,1.0,0.0,0.0,1.0
SBIC-45,"""just don't"" = the sum total of your unconscious biases @USER I'm not sexist but I just dont like female singers haha",1.0,1.0,1.0,0.0,0.0
SBIC-46,"""most ugly men are ugly on the inside too""",1.0,0.0,0.0,1.0,1.0
SBIC-47,"#000000 this sub has only gone downhill since scrooge left, but i can't blame him. 

nigger",1.0,1.0,1.0,0.0,1.0
SBIC-48,"#Ascendant / #MediumCoeli for Budapest, H for now (16h28m02s UT): 06°51'22.7'' #Libra (AC) / 08°30'57.6'' #Cancer (MC)",0.0,0.0,0.0,0.0,0.0
SBIC-49,#Hyères #footjob throat #sexo #uniforms #planq #incall #chatroom blowjob #kikhorny #dirty URL,0.0,0.0,0.0,0.0,0.0
SBIC-50,#YesAllWomen because my mother hoped I would inherit a better world than this,0.0,0.0,0.0,0.0,0.0
SBIC-51,#cabinetreshuffle fricking hell Melusi Gigaba for finance minister???????? @USER @USER I'm shell shocked,0.0,0.0,0.0,0.0,0.0
SBIC-52,"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG> Do not celebrate as ""unique indiviuals"" for they are #cancer>",1.0,1.0,1.0,1.0,1.0
SBIC-53,#followfriday time! You guys are so so awesome!! Thanks for the support &#128522; #GamersUnite @USER @USER,0.0,0.0,0.0,0.0,0.0
SBIC-54,&#8220;@USER: done w. All these fuck niggas &#128554;&#128514; snip snip hoe &#9996;&#65039;&#9986;&#65039;&#8221; stfu,1.0,1.0,1.0,1.0,1.0
SBIC-55,&#8220;@USER: Throwing lamps at bitches who need to lighten up.&#8221; True dat,1.0,0.0,0.0,0.0,1.0
SBIC-56,&#8220;@USER: If Jennifer Hudson can lose weight anybody can you fat ass hoes!!!&#8221;&#128514;&#128514;&#128514;&#128514;,1.0,0.0,0.0,1.0,1.0
SBIC-57,&#8220;@USER: I'm 2 much for these niggas and 3 much for these hoes &#128129;&#8221;,1.0,1.0,1.0,0.0,1.0
SBIC-58,"&#8220;@USER: @USER would love the Parkside sport girls, dressed like Kobe all day everyday!&#8221; Let me see 1 of them hoes",0.0,0.0,1.0,1.0,0.0
SBIC-59,&#8220;@USER: That one friend who you greet with an insult.&#8221; @USER @USER niggers,1.0,1.0,1.0,1.0,0.0
SBIC-60,&#8220;@USER: When hoes feel like their photo didnt get enough favorites URL;,0.0,1.0,0.0,0.0,0.0
SBIC-61,&#8220;@USER: If you got netflix watch fresh that hoe live&#8221; from now on my name is Chuck E I'm not chuckie no more &#128514;&#128514;&#128514;,0.0,0.0,0.0,0.0,0.0
SBIC-62,>tfw even if you woke up as Chad and you wouldn't feel any different because years of psychological damage at the hands of female human organisms has permanently made you the way you are mentally,1.0,1.0,1.0,0.0,0.0
SBIC-63,<--- number of femoids who would rather die than spend more than 5 seconds with an incel,1.0,1.0,1.0,1.0,1.0
SBIC-64,"'As long as we never make another mistake the left will let us speak'

Good luck with that, altlite fags.",1.0,1.0,1.0,1.0,0.0
SBIC-65,'Build the wall deport em all (not just illegals)',1.0,1.0,1.0,1.0,1.0
SBIC-66,(If I owe you a reply please forgive me. I can't find them! It will take me a bit of time to go through my mentions.),0.0,0.0,0.0,0.0,0.0
SBIC-67,"(In America) Men get circumcised but women don't
Maybe if we started cutting off their clits they'd be less likely to whore away their youth",1.0,1.0,1.0,1.0,1.0
SBIC-68,"(Stolen) A black woman calls her 5 kids Tyrone. How can she tell them apart? 


By their last names",1.0,1.0,1.0,1.0,1.0
SBIC-69,*Does backflip* THISSSSSSSS!!! RT @USER: You niggas switch up your opinions like faggots,1.0,1.0,1.0,1.0,0.0
SBIC-70,"*Goes to store* A box of condoms, please.
 
That’ll be 3,99. Do you want a bag with it?
 
Nah I’m OK. She’s actually quite pretty.",0.0,0.0,0.0,0.0,0.0
SBIC-71,"*Has upset stomach*

*Smokes j of Blue Dream*

*Doesn't have upset stomach*

Funny how that works.",0.0,0.0,0.0,0.0,0.0
SBIC-72,*No jews were harmed in the making of the holocaust.,1.0,1.0,1.0,1.0,1.0
SBIC-73,*gasps* You've NEVER had taiyaki* before? You're not really Japanese!,0.0,0.0,0.0,0.0,0.0
SBIC-74,*jumps up and down because I cannot wait to get to it and for @USER to destroy me emotionally*,0.0,0.0,0.0,0.0,0.0
SBIC-75,*most boys @USER I'm not sexist but all the internet does is show that most girls don't know how to form their own opinions.,1.0,1.0,1.0,1.0,1.0
SBIC-76,".@USER Realized then that selfish hypocrisy is the crux of modern feminism, not equality.",1.0,1.0,0.0,0.0,0.0
SBIC-77,.@USER really does talk like a buck nigger,1.0,1.0,1.0,1.0,1.0
SBIC-78,.@USER there will not be comment section so people comment i want to see reviews so i feel people are watching liking chandrakanta or not,0.0,0.0,0.0,0.0,0.0
SBIC-79,12 Computer Technicians Share The Weirdest Thing Theyve Found On A Customers Computer. URL,0.0,0.0,0.0,0.0,0.0
SBIC-80,135 Billion dollars a year due to Illegal Aliens .....NO MORE IMMIGRATION.....PERIOD....WE ARE FULL !,0.0,1.0,1.0,1.0,1.0
SBIC-81,"2 condoms walk by a gay bar The other one looks at the other and asks ""Hey, you wanna go get shitfaced?""",1.0,1.0,0.0,1.0,1.0
SBIC-82,"2018 Democrat Strategy:

Lie about Conservative Candidates
Dredge up paid examples of lies
Flood advertising with these lies and liars
Bring unqualified voters to the polls by the busload
Program voting machines to register ""Democrat"" at least 1.5:1 ratio
Destroy votes immediately after election",0.0,1.0,1.0,0.0,0.0
SBIC-83,28. We see all the budding possibilities and are excited to be accepted by such a wonderful and perfect person. #YingAndYang,0.0,0.0,0.0,0.0,0.0
SBIC-84,4) safety gloves. It's time we start calling out the hypocrisy and end our coddling of religion. No more tax breaks for churches. No more,0.0,0.0,0.0,0.0,1.0
SBIC-85,4chan will find out the truth about the shooter before our government does.,0.0,0.0,0.0,0.0,0.0
SBIC-86,9/11 jokes always seem good in the beginning But then they come crashing down,0.0,0.0,0.0,0.0,1.0
SBIC-87,9/11 was a very sad day... I lost 500$ betting on which building would fall down first.,0.0,0.0,0.0,0.0,0.0
SBIC-88,"9/11 was an inside job I mean why else would you only put one tower to replace two, there's no way that Trump could hit two targets in one go",0.0,0.0,0.0,0.0,0.0
SBIC-89,:D @USER Dudes who go to culinary school: #why #findawife #notsexist :),0.0,0.0,0.0,0.0,1.0
SBIC-90,<url> [ removed ],0.0,0.0,0.0,0.0,0.0
SBIC-91,> Because in my family my mom would have supported me getting a new dress and would have made my sister pay for it (as she should) Love this idea.,0.0,0.0,0.0,0.0,0.0
SBIC-92,@USER too bad hes a faggot,1.0,1.0,1.0,1.0,0.0
SBIC-93,"@USER yeah that niggah played good, lowkey i wanted brazil to win",0.0,1.0,1.0,0.0,1.0
SBIC-94,@USER @USER No he didn't. He said that at one rally. So at no point do we blame the people who acted out.,0.0,0.0,0.0,0.0,0.0
SBIC-95,"@USER Yes because the person we voted for is keeping his promises, in spite of the lefts resistance! # MAGA. today and 2020",0.0,0.0,0.0,0.0,0.0
SBIC-96,@USER I don't really do twitter JA 2 emotio wen the countdown of letters goes from 1left to a negative &then… URL,0.0,0.0,0.0,0.0,0.0
SBIC-97,"@USER 
Dat damn dog eats betta den most colored folk do.",1.0,1.0,1.0,1.0,1.0
SBIC-98,@USER @USER I'm afraid no chance 4 US 2 get a really independent potus.Swamp drains anyone.Doubt… URL,0.0,0.0,0.0,0.0,0.0
SBIC-99,"@USER Shame of you! Self-hating kike. 
We Jews are G-d's chosen people.",1.0,1.0,1.0,1.0,1.0
SBIC-100,@USER hii fag. :),1.0,1.0,1.0,1.0,0.0
SBIC-101,"@USER
I eat dat chicken out your love box baby. Lovin a white woman while eatin chicken. A colored mans dream",0.0,0.0,1.0,0.0,0.0
SBIC-102,@USER faggot,1.0,1.0,1.0,1.0,1.0
SBIC-103,@USER bet hoe,0.0,0.0,0.0,0.0,0.0
SBIC-104,@USER And once he called me an ungrateful bitch and retarded nigga in an argument. It's how we argued. Now… URL,1.0,1.0,1.0,1.0,0.0
SBIC-105,@USER gay fags,1.0,1.0,1.0,1.0,1.0
SBIC-106,"@USER @USER Well, NI seems stuck. RoI doesn't want it. Westminster views it as a burden. It'll have to help itself, I think.",0.0,0.0,0.0,0.0,0.0
SBIC-107,"@USER You don't have any kids?! What are you, one of them queers!?",1.0,1.0,1.0,1.0,0.0
SBIC-108,"@USER ""bitches talk shit, you got the right to swerve"" god damnit you are da shittt",0.0,0.0,0.0,0.0,1.0
SBIC-109,@USER What else do you expect from that nigger lover?,1.0,1.0,1.0,1.0,1.0
SBIC-110,@USER them hoes ain't thick at all u clowning,0.0,1.0,0.0,0.0,0.0
SBIC-111,@USER why did Nunes recuse himself? Why does your party refuse to stand up and fight. I'm disappointed.,0.0,0.0,0.0,0.0,0.0
SBIC-112,@USER niqqa that's every white person just because some might seem down to earth don't mean there not gonna use nigger against us,1.0,1.0,1.0,0.0,1.0
SBIC-113,"@USER CH3BURASHKA sure gets to be a nit-picky Russian monkey/bear thing sometimes, doesn't he?",1.0,1.0,1.0,1.0,1.0
SBIC-114,@USER Omg shes so fucking THIRSTY for me & i find it so unattractive when people are that dehydrated,0.0,0.0,0.0,0.0,0.0
SBIC-115,"A ""random scientist"" that keeps blogging about me. A sexist asswipe that told me to not bother with my projects coz he did it @USER",0.0,1.0,0.0,0.0,1.0
SBIC-116,"A Black kid complemented my T-shirt He said: Nice shirt faggot... I said yeah, it’s 100% cotton. Tell your grandparents I said thanks",1.0,1.0,1.0,1.0,1.0
SBIC-117,"A Cop Told A Suspect To Put His Hands Up, And Then He Shot Him. Do You Know Why? Because He Was Black",0.0,1.0,1.0,1.0,1.0
SBIC-118,A Jew walks in to a bar And then the metal door closes behind him,1.0,1.0,1.0,1.0,1.0
SBIC-119,"A Jewish boy asks his father for $50. The father replies, ""$40, what do you need $30 for?""",1.0,0.0,0.0,0.0,0.0
SBIC-120,"A Jewish toddler drowned recently. He threw a penny into a fountain, hoping it gave him a wish. 

His parents then chucked him angrily into the water to get it back.",1.0,1.0,1.0,1.0,0.0
SBIC-121,A Madden player was fatally shot during a touchdown... Trueboy really was in the 'End Zone',0.0,0.0,0.0,0.0,0.0
SBIC-122,A Mexican and an American jump off a skyscraper at the same time. Who hits the ground first? The American because the Mexican has to clean the windows on the way down,1.0,1.0,1.0,1.0,1.0
SBIC-123,A Muslim man said “Allah Akbar” But I thought he was sneezing so I said “god bless you” and I was blown away by his reaction.,1.0,1.0,1.0,0.0,0.0
SBIC-124,A Nigguh spitting dat crack to your bitch,0.0,1.0,1.0,1.0,1.0
SBIC-125,A bf and gf&#128107; are suppose to laugh&#128514; at these hoes&#128111; together&#128145;. A guy should never have these hoes&#128111; laughing&#128514; at his girl&#128134;,1.0,0.0,0.0,0.0,0.0
SBIC-126,"A black guy and Mexican were in a car, Who is driving? The Cop",1.0,1.0,1.0,1.0,1.0
SBIC-127,"A black guy finds a genie in a bottle  Any three wishes he had would be granted, the genie informed him. ""I wanna be rich,"" said the black guy. The back yard filled up with chests of gold coins and jewels in the blink of an eye. ""I'm no fool,"" said the black guy. ""I wanna be white."" And there he stood, white, blonde-haired and blue-eyed. ""Last but not least, I never want to work another day in my life."" And he turned black again.",1.0,1.0,1.0,1.0,1.0
SBIC-128,"A black guy went to give a white guy a high five And then the black guy said ""why did you leave me hanging?""",0.0,1.0,1.0,1.0,1.0
SBIC-129,"A black man and a Mexican jump off the roof at the same time, who hits the ground first? Who cares?",1.0,1.0,1.0,1.0,1.0
SBIC-130,A black man and a jew jump off a building. Who lands first No one cares,1.0,1.0,1.0,1.0,1.0
SBIC-131,"A black man and a white women go to her apartment... ...when they get their she grabs his crotch and says ""Show me what they say about black men is true."" So he stabs her and takes her purse.",1.0,1.0,1.0,1.0,1.0
SBIC-132,"A black man gets shot 12 times and stabbed 34 times by a white man. ""These black people are now possessing people in order to commit suicide. Worst case of suicide I've seen""   
#####- Local County Sheriff",1.0,1.0,1.0,1.0,1.0
SBIC-133,"A black man walked into a bar.... Sorry, I meant 3/5ths of a man walked into a bar",1.0,1.0,1.0,1.0,1.0
SBIC-134,"A black man walks into a bar with a parrot on his shoulder. Bar tender goes he man that's neat where did you get that?


The parrot says Africa there all over the fucking place!",1.0,1.0,1.0,1.0,1.0
SBIC-135,"A cripple walks into a bar. Just kidding, no he doesn't.",0.0,1.0,1.0,0.0,1.0
SBIC-136,A female on r/foreveralone turns out to be an actual creep and thought about stalking Chad.,0.0,0.0,0.0,0.0,0.0
SBIC-137,"A gay guy, A black guy, and A Jew get hit by a bus They all appear in front of the gates of heaven. The Angel says. ""Welcome to Heaven!"" The three guys beg him for a second chance. The angel says,""I can only do it if you promised to give up what you love doing the most."" The three men immediately agreed to do that.

Suddenly, they're on the street and the bus is passing by. They cautiously cross the street, and continue walking, until they come across a car which has an open window and a purse. The gay guy says to the black guy, ""Don't do it man, you're stronger than that!"" But he reaches in anyway. Poof! Black guy disappears.

They continue walking until the Jew comes across a penny. He bends down with the gay guy behind him. Poof! Gay guy disappears.",1.0,1.0,1.0,0.0,1.0
SBIC-138,A guy wanted to be burned So someone called him a Jew.,1.0,1.0,1.0,1.0,1.0
SBIC-139,A guy with parkinsons went to the bathroom to pee He came.,1.0,1.0,1.0,1.0,1.0
SBIC-140,A jew with a boner walks into a wall what does he break? his nose,1.0,1.0,1.0,1.0,1.0
SBIC-141,"A long time ago, scientists started to combine dog DNA along with human DNA. The outcome turned out to be Mexican girls.",1.0,1.0,1.0,1.0,1.0
SBIC-142,"A male fellow philosophy student tells me:: Don't read <insert old, dead, iconic male philosopher here>, it wasn't written for you. (It wasn't written for women.) He also says, after a girl gives her interpretation of a reading:: This is what happens when you let women study philosophy.",1.0,1.0,1.0,1.0,1.0
SBIC-143,"A man of opposite color of white is offensive I just want to state my hate for them 

/s might be needed",1.0,1.0,1.0,1.0,1.0
SBIC-144,"A naked woman bursts into a police station covered with bruises and is screaming ""GRAPE! GRAPE! GRAPE!"". The duty officer replied ""Don't you mean RAPE?""
The woman said ""No, there a bunch of them!""",0.0,0.0,0.0,0.0,0.0
SBIC-145,"A pedophile, a rapist and a priest walk into a bar And thats just the 1st guy",1.0,1.0,1.0,0.0,0.0
SBIC-146,"A priest & a rabbi walk through a forest where they find a boy strapped to a tree & unconscious. The priest says, ""Should we screw him?""

To which the rabbi replies, ""Out of what?""",1.0,1.0,1.0,1.0,0.0
SBIC-147,"A priest told me that he was secretly santa,but I could not tell anyone Every time I came back from church my butthole hurts",1.0,0.0,1.0,0.0,0.0
SBIC-148,A red bull a day keeps the niggers away,1.0,1.0,1.0,1.0,1.0
SBIC-149,"A rich black man, a educated black man and a poor black man was walking down the street when they saw a drumstick on the ground, who picked it up? The poor black man as the other 2 don't exist",1.0,1.0,1.0,1.0,1.0
SBIC-150,"A silver lining of growing obesity rates and trashy tattooing trends among women
Far fewer females to worry about passing when I go out and pining over.",1.0,0.0,1.0,1.0,1.0
SBIC-151,"A single book of matches gonna burn what's standing in the way. Roaring down the mountain, they're calling on the fire brigade...",0.0,0.0,0.0,0.0,0.0
SBIC-152,A special #DIHWorkshop tip: screw holes can be hidden with wood filler to make painting smoother. Try it out! #حياتك53,0.0,0.0,0.0,0.0,0.0
SBIC-153,"A subreddit meant for guys who get cucked to come together and talk about it
If you go to the sub r/deadbedrooms its literally guys who are in relationships were they get cucked because the women only want them for their money and support.",0.0,0.0,1.0,0.0,0.0
SBIC-154,"A white male toddler needs to have its head smashed by a hammer because its a rapist
But every nigger and a spic can rape a newborn in the ass and be seen as a deity for it",1.0,1.0,1.0,1.0,1.0
SBIC-155,"A white man and a black man play hide and seek at night. Who has the advantage? The white man, as the cops are on his side.",1.0,1.0,1.0,1.0,0.0
SBIC-156,A wife is killed after a car drives through her living room and kills her. Who's fault is it? The wife's because she should've been in the kitchen,1.0,1.0,1.0,1.0,1.0
SBIC-157,"Aan indian was taking a dump and died. Strange, isn't it?? He didn't pay attention to the train heading towards him...",1.0,1.0,1.0,1.0,1.0
SBIC-158,Abortion It really brings out the kid in you.,0.0,0.0,0.0,0.0,0.0
SBIC-159,"According to evolution, all human beings came from apes Except for Indians, they came from rapes.",1.0,1.0,1.0,1.0,1.0
SBIC-160,Africa is really boring during Halloween Everyone's a skeleton,1.0,1.0,1.0,1.0,1.0
SBIC-161,African Americans scare me. They've taken over the sub to take back the Dark in Dark Jokes.,1.0,1.0,1.0,1.0,1.0
SBIC-162,Africanized bees are more aggressive than regular bees. Just like Africanized humans,1.0,1.0,1.0,1.0,1.0
SBIC-163,Africans actually have more of some things. Like infant mortality.,1.0,1.0,1.0,1.0,1.0
SBIC-164,"After going blind a man stabbed himself to death. Know Why?

He could no longer see the point",0.0,0.0,0.0,0.0,0.0
SBIC-165,"After watching the clip on ""Mansplaining"" I would like to introduce the term ""Vaginapology""
I believe this is self-explanatory.",0.0,1.0,1.0,0.0,0.0
SBIC-166,"After witnessing the shit show that is tRUmp and the nihilism of the @USER & @USER, maybe, just maybe folks will show up & #VOTE!",0.0,0.0,0.0,0.0,0.0
SBIC-167,"Agreed, The Blacks and Hispanics should have their own school only for them and have worse education than the children whites like that might not compete with our children whites .",1.0,1.0,1.0,1.0,1.0
SBIC-168,Al Jazeera are making their own version of the Jeremy Kyle show They'll discuss scandals such as monogamy and consensual adult relationships,0.0,1.0,0.0,0.0,0.0
SBIC-169,All I found out yesterday was that I'm the prettiest ugly Nigga out hurrrrrr,0.0,0.0,0.0,0.0,0.0
SBIC-170,All I want for Christmas is an absolute elimination of Islam in the western world.,1.0,1.0,1.0,1.0,1.0
SBIC-171,"All I want is to stop hurting...
All I want is to make my pain go away, but it never fucking leaves, ever...at best I just start feeling nothing.",0.0,0.0,0.0,0.0,0.0
SBIC-172,All girls have rape fantasies. At least all the girls in the nursery I teach at.,0.0,1.0,1.0,1.0,1.0
SBIC-173,"All of these school shootings in the news are really effecting me, I never thought I would let fame go to my head",0.0,0.0,0.0,0.0,0.0
SBIC-174,"All the jews I have ever known will do anything for money , and all I can say is there are no good jews",1.0,1.0,1.0,1.0,1.0
SBIC-175,All you muzzy lovers need to do one thing. Tell muzzies in the mideast to leave Israel alone. Don't start no shit won't be no shit. #Israel,1.0,1.0,1.0,1.0,1.0
SBIC-176,Already pre-ordered Destiny 2 Limited Edition bundle and its only had one teaser trailer. Can you feel my excitement.,0.0,0.0,0.0,0.0,0.0
SBIC-177,"Also, I can't imagine anything more counterproductive than getting into fights with shit-tier niggers and other diversity when those aren't the people who have socially engineered the destruction of your homeland.",1.0,1.0,1.0,1.0,1.0
SBIC-178,Although we have slight variances in our position here I want to thank all the posters who have kept this thread civil .,0.0,0.0,0.0,0.0,0.0
SBIC-179,"Always remember, it was normies that enacted the Holocaust, acted in the Slave Trade, and committed every atrocity in history
Normies are evil",0.0,1.0,1.0,1.0,1.0
SBIC-180,Amazing how #labor & #liberals point the finger at the independents for their failures for not getting on with the job of governing #pmlive,0.0,0.0,1.0,0.0,0.0
SBIC-181,Amusing to watch the #LyingLiarsLie about incompetence while being so unaware at how incompetent they themselves are #maddow #resist,0.0,0.0,0.0,0.0,0.0
SBIC-182,"An Asian woman just gave me a handjob while fingering my ass Which isnt what i meant when i asked her to give me a 'Hand Roll and Pork Intestines
That's the problem with having the Chinese Massage place right next to the Chinese takeout place",1.0,1.0,1.0,1.0,1.0
SBIC-183,And mi hate a bum bitch Mi really really hate bum niggas,1.0,1.0,1.0,1.0,1.0
SBIC-184,"And then there 's Asiacourt , the once beautiful , safe , WHITE , area of Scarborough ... ( and the last i checked ) was a garbage infested Chinease outpost .",1.0,1.0,1.0,1.0,1.0
SBIC-185,And this same teacher will call the Germans evil because they taught their school children the same thing about the jews .,0.0,1.0,1.0,1.0,0.0
SBIC-186,"Anerican Dream We were talking about the american dream in class and the teacher said to a german boy if he had a german dream. He said ""We did but no-one liked it.""",0.0,0.0,0.0,0.0,0.0
SBIC-187,Angela Spain was murdered in her home by a drifter negro .,1.0,1.0,1.0,1.0,1.0
SBIC-188,"Another good match, would have meant more if it was her first title match win , but still good finish with the elbow drop #Wrestlemania",0.0,0.0,0.0,0.0,0.0
SBIC-189,"Are there any sources that state that it was Trotsky who reiceived the money and was responsible for destruction of Black Hundreds , as opposed to Lenin or another Bolshevik leader ?",0.0,0.0,0.0,0.0,1.0
SBIC-190,Are there really that many gay people?!,0.0,1.0,0.0,0.0,0.0
SBIC-191,Are you Sandy Hook? 'Cause I wanna shoot some kids inside you.,0.0,0.0,0.0,0.0,0.0
SBIC-192,"Are you guys tired of being lumped in with rich old white men in politics and in business, while you toil away and live from paycheck to paycheck?",0.0,0.0,1.0,1.0,1.0
SBIC-193,Are you white but wanna be black? Just follow the Jews footsteps.,1.0,1.0,1.0,1.0,1.0
